id;﻿syn size;win size;ttl;os;major version;minor version;flows;percent in group;million flows
11;48;65535;64;Darwin;16;5;93;1.9682539682539684;0.1814140105548778
11;48;65535;64;Windows;N/A;N/A;66;1.3968253968253967;0.12874542684539717
11;48;65535;64;iOS;N/A;N/A;47;0.9947089947089948;0.09168234942020706
12;48;65535;128;Windows;5;1;2787481;91.82391035158174;5437.506532855068
12;48;65535;128;Windows;N/A;N/A;183532;6.045826290707093;358.01372242105197
13;52;4096;64;Windows;5;1;3206;100.0;6.253906643429443
14;52;5840;64;Linux;N/A;N/A;558;44.56869009584665;1.088484063329267
14;52;5840;64;iOS;N/A;N/A;249;19.88817891373802;0.48572138309854385
14;52;5840;64;Windows;N/A;N/A;176;14.057507987220447;0.3433211382543924
14;52;5840;64;Windows;10;0;158;12.619808306709265;0.30820874911473867
14;52;5840;64;iOS;10;2;93;7.4281150159744405;0.1814140105548778
15;52;8192;64;Windows;10;0;4525135;45.994057440137595;8827.127834970397
15;52;8192;64;Windows;6;1;2694591;27.388171453819126;5256.3070980116
15;52;8192;64;Windows;6;3;2325204;23.63367420773915;4535.748204282195
16;52;8192;128;Windows;10;0;166490598;55.2287594599685;324771.2591705367
16;52;8192;128;Windows;6;1;96189864;31.908389573704838;187636.44089213182
16;52;8192;128;Windows;6;3;27216738;9.028417786612696;53091.371987111226
17;52;16616;128;Windows;10;0;794;82.45067497403946;1.5488464987158386
17;52;16616;128;Windows Phone;N/A;N/A;102;10.59190031152648;0.19897020512470467
17;52;16616;128;Windows;6;2;48;4.984423676012461;0.09363303770574338
18;52;16728;128;Windows;10;0;206;98.09523809523809;0.40184178682048205
19;52;17520;64;Windows;10;0;130307;96.80911130592413;254.1883384233813
20;52;17520;128;Windows;10;0;1781015;95.70523037306992;3474.20509686447
21;52;17616;128;Windows;10;0;1339;96.95872556118755;2.6119716143331333
22;52;29200;64;Android;4;2;3361;47.80938833570412;6.556263327687573
22;52;29200;64;Linux;N/A;N/A;2120;30.156472261735416;4.135459165336999
22;52;29200;64;Ubuntu;N/A;N/A;772;10.981507823613086;1.5059313564340395
22;52;29200;64;Android;4;1;458;6.514935988620199;0.8934152347756348
23;52;32768;255;BlackBerry;7;1;522;100.0;1.0182592850499594
24;52;49640;64;Solaris;N/A;N/A;1058;100.0;2.063828206097427
25;52;63443;64;Windows;6;3;66598;47.91429845892628;129.91193844014788
25;52;63443;64;Windows;10;0;23385;16.82446724319035;45.616845557266856
25;52;63443;64;iOS;10;2;15592;11.217750406492366;30.41513174808231
25;52;63443;64;Mac OS X;10;12;11692;8.411873893837143;22.80744743449066
25;52;63443;64;Android;5;1;6223;4.477171676475244;12.139133200892523
25;52;63443;64;iOS;10;3;5620;4.043340000287783;10.96286816471412
25;52;63443;64;Android;4;4;5411;3.8929737974301046;10.55517431303703
26;52;63443;128;Windows;6;1;470157;44.72399763707846;917.1297522628998
26;52;63443;128;Windows;10;0;274233;26.08659669856864;534.9431006074818
26;52;63443;128;Windows;6;3;258736;24.612434256274252;504.71328424652546
27;52;64240;64;Windows;10;0;256400;96.82523498245892;500.15647641151253
28;52;64240;128;Windows;10;0;8522957;96.05397938553769;16625.632378029783
29;52;64380;128;Windows;5;1;117;86.66666666666667;0.2282305294077495
29;52;64380;128;Windows;5;0;18;13.333333333333334;0.03511238913965377
30;52;64620;128;Windows;10;0;187;100.0;0.36477870939529194
31;52;64800;128;Windows;10;0;58;100.0;0.1131399205611066
32;52;65340;64;Windows;10;0;1214;100.0;2.368135578641093
33;52;65392;128;Windows Phone;N/A;N/A;5196;100.0;10.13577633164672
34;52;65518;64;Windows;10;0;76036;99.72457571544737;148.32253447903966
35;52;65518;128;Windows;10;0;11759;98.93984013462348;22.938143549621593
36;52;65535;64;Windows;10;0;492284;68.13779701390898;960.2926319569619
36;52;65535;64;Windows;6;3;80898;11.197218481265303;157.80678092331726
36;52;65535;64;Windows;6;2;57889;8.012506868673727;112.92339416141206
36;52;65535;64;Windows;5;1;36776;5.090223576194872;71.73851238888372
36;52;65535;64;Windows;N/A;N/A;24587;3.4031250562296966;47.96157287648151
37;52;65535;128;Windows;10;0;21744883;74.8710580537366;42417.48853845788
37;52;65535;128;Windows;6;3;2134276;7.348648521065702;4163.3071913013155
37;52;65535;128;Windows;6;2;1379642;4.750324767227916;2691.2514876339
37;52;65535;128;Android;4;0;979275;3.3717981088043985;1910.2602708185802
37;52;65535;128;Android;6;0;852983;2.936954855625133;1663.9039458616273
37;52;65535;128;Windows;6;1;696505;2.3981764486715247;1358.664144317475
38;52;65535;255;Windows;5;1;130;71.03825136612022;0.2535894771197217
38;52;65535;255;Windows;N/A;N/A;53;28.96174863387978;0.10338647913342498
39;56;8192;64;Windows;10;0;18491;94.31777607753125;36.0701770878521
39;56;8192;64;Windows;N/A;N/A;703;3.5858199438918645;1.3713338647320332
40;56;8192;128;Windows;6;1;25892;89.13829311116467;50.50722108910641
40;56;8192;128;Windows;10;0;2618;9.012978965125486;5.106901931534087
41;56;17520;128;Windows;10;0;478;99.1701244813278;0.9324290004863612
42;56;65535;128;Windows;6;2;238;83.50877192982456;0.46426381195764427
42;56;65535;128;Windows;6;3;42;14.736842105263156;0.08192890799252546
43;60;4380;64;Android;2;3;4975;91.58689248895435;9.704674220543195
43;60;4380;64;Android;5;1;321;5.909425625920471;0.626170939657159
44;60;5360;64;Linux;N/A;N/A;1994;60.38764385221078;3.889672441359423
44;60;5360;64;SUSE;12;3;1308;39.61235614778922;2.5515002774815074
45;60;5840;64;Linux;N/A;N/A;223377;33.371129954644054;435.7388971582467
45;60;5840;64;Android;2;3;200299;29.923420758561758;390.7209129046395
45;60;5840;64;Windows;6;1;110674;16.53400500767884;215.89047531344676
45;60;5840;64;Debian;N/A;N/A;33734;5.039649103936227;65.80451862428224
45;60;5840;64;Ubuntu;N/A;N/A;28380;4.239794912246105;55.36053354352078
45;60;5840;64;Windows;10;0;21156;3.1605743891289144;41.2687613688064
45;60;5840;64;SUSE;3;6;13249;1.9793179278487898;25.84466909507071
45;60;5840;64;Android;4;0;10291;1.5374111854096078;20.074533146454275
46;60;8192;64;Windows;10;0;88380;62.362844784397296;172.40183067569998
46;60;8192;64;Windows;6;3;28916;20.40375672986685;56.40610246456824
46;60;8192;64;Windows;6;1;22756;16.057127131859524;44.389862625664506
47;60;8192;128;Windows;6;1;674553;66.87747858502539;1315.8426350733816
47;60;8192;128;Windows;10;0;229455;22.748949079949238;447.5951805577364
47;60;8192;128;Windows;6;3;92881;9.208538229695431;181.181878648899
48;60;12240;64;Android;6;0;1155;82.67716535433071;2.25304496979445
48;60;12240;64;Android;7;0;229;16.39226914817466;0.4467076173878174
49;60;12330;64;Android;5;0;187;100.0;0.36477870939529194
50;60;12400;64;Android;4;3;10516;73.35379464285714;20.513438010699947
50;60;12400;64;Linux;N/A;N/A;3232;22.544642857142858;6.304624538853388
51;60;12600;64;Linux;N/A;N/A;106;99.06542056074767;0.20677295826684997
52;60;13100;64;Ubuntu;N/A;N/A;1791;56.6055625790139;3.4936827193955504
52;60;13100;64;Linux;N/A;N/A;1359;42.9519595448799;2.6509853800438594
53;60;13140;64;Android;4;4;9630;36.064714253613964;18.78512818971477
53;60;13140;64;Android;4;3;6752;25.286495393603474;13.171047303941236
53;60;13140;64;Android;5;1;3652;13.676878136469178;7.1239136187786425
53;60;13140;64;Android;6;0;3256;12.193843157815893;6.35144105770626
53;60;13140;64;Android;5;0;820;3.0709310164032657;1.5995643941397828
53;60;13140;64;Android;N/A;N/A;805;3.0147554490300355;1.570304069856738
53;60;13140;64;Linux;N/A;N/A;560;2.0972211819339375;1.0923854399003394
54;60;13600;64;Android;4;4;277684;68.42726504340712;541.6749258808677
54;60;13600;64;Android;5;1;104188;25.674147197326818;203.23831109345815
54;60;13600;64;Android;N/A;N/A;5860;1.444029087575682;11.431033353242839
55;60;13600;128;Android;4;4;530;90.75342465753424;1.0338647913342498
55;60;13600;128;Linux;N/A;N/A;29;4.965753424657534;0.0565699602805533
56;60;14600;64;Windows;6;1;7567023;37.76343056792444;14760.903122483905
56;60;14600;64;Android;4;4;5710802;28.499910045755644;11139.99456241739
56;60;14600;64;Android;4;3;1319793;6.5864622480376624;2574.504744432837
56;60;14600;64;Android;4;1;827891;4.131612167203605;1614.9572754009498
56;60;14600;64;Windows;N/A;N/A;779464;3.8899359291225433;1520.4912937972827
56;60;14600;64;Android;4;2;778539;3.8853196918948605;1518.6869071331614
56;60;14600;64;Ubuntu;N/A;N/A;636442;3.176180814768366;1241.499953823307
56;60;14600;64;Linux;N/A;N/A;606522;3.026864254928083;1183.13536032006
56;60;14600;64;Android;N/A;N/A;359441;1.7937999193031826;701.1573480414605
56;60;14600;64;Android;5;0;321664;1.6052727909246274;627.4661966787551
56;60;14600;64;Android;4;0;137687;0.6871306542355973;268.5844179706394
57;60;14600;128;Android;4;1;2017;35.91524216524217;3.9345382719267588
57;60;14600;128;Android;4;2;1444;25.71225071225071;2.8167938843144467
57;60;14600;128;Tizen;2;4;901;16.043447293447294;1.7575701452682249
57;60;14600;128;iOS;7;1;589;10.487891737891738;1.1489554001808926
57;60;14600;128;Linux;N/A;N/A;564;10.042735042735043;1.1001881930424848
